Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Walking,7/04/2020 7:53,FALSE,Melbourne Walking,6.5,356,1:18:10,99,124,2,106,222,12:02,8:07,30,37,0.79,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:05.1,7,0,--,--
Walking,6/04/2020 8:47,FALSE,Melbourne Walking,4.89,285,1:07:50,97,113,1.1,93,156,13:53,8:12,19,20,0.78,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,11:02.7,5,0,--,--
Walking,3/04/2020 9:12,FALSE,Melbourne Walking,5.91,360,1:22:12,97,119,1.4,90,181,13:54,8:01,31,27,0.81,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,10:57.3,6,0,--,--
Walking,2/04/2020 8:26,FALSE,Melbourne Walking,4.01,213,0:48:26,99,112,1.3,105,124,12:06,9:59,11,9,0.78,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:04.0,5,0,--,--
Walking,1/04/2020 9:04,FALSE,Melbourne Walking,6.81,379,1:21:44,107,141,2.1,105,152,12:00,8:07,29,29,0.79,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,09:30.2,7,0,--,--
Indoor Cycling,31/03/2020 18:04,FALSE,Indoor Cycling,0,393,0:55:25,130,157,3.2,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,29,0:00,No,00:00.0,1,0,--,--
Walking,31/03/2020 9:16,FALSE,Melbourne Walking,5.78,314,1:06:55,99,129,1.9,106,233,11:35,7:54,21,23,0.82,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,09:00.7,6,0,--,--
Walking,30/03/2020 9:21,FALSE,Melbourne Walking,4.69,245,0:53:46,95,109,1.2,109,136,11:28,9:55,9,11,0.8,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,08:00.2,5,0,--,--
Treadmill Running,28/03/2020 8:17,FALSE,Treadmill Running,2.82,169,0:31:29,114,135,1.8,127,185,11:10,7:00,--,--,0.7,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,09:21.1,3,0,--,--
Indoor Cycling,28/03/2020 7:19,FALSE,Indoor Cycling,0,343,0:43:52,142,168,3.4,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,28,0:00,No,00:00.0,1,0,--,--
