Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,29/02/2020 6:26,FALSE,Melbourne Cycling,85.41,"1,324",2:47:33,138,195,3,--,--,30.6,45.6,"1,564","1,628",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,28/02/2020 5:46,FALSE,Pool Swimming,"4,000",747,1:16:35,--,--,--,--,--,1:38,0:26,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1962,74,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,27/02/2020 5:25,FALSE,Melbourne Cycling,38.14,752,1:17:00,139,185,3.2,--,--,29.7,44.3,847,930,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,26/02/2020 19:15,FALSE,Zwift - Watopia,19.64,263,0:40:18,--,--,0,--,--,29.2,53.8,59,--,0,0,0,71,82,117,0,120,114,240,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,24/02/2020 18:31,FALSE,Lap Swimming,"3,150",637,0:52:04,--,--,--,--,--,1:20,0:24,--,--,0,0,0,--,--,--,0,--,--,--,0,0,922,55,22,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,24/02/2020 18:18,FALSE,Lap Swimming,375,61,0:12:11,--,--,--,--,--,3:15,1:08,--,--,0,0,0,--,--,--,0,--,--,--,0,0,327,70,27,--,--,0:00,0,0:00,No,00:00.9,2,0
Multisport,23/02/2020 7:35,FALSE,Geelong Multi-Sport,114.03,"3,189",5:04:45,--,180,4.4,--,--,22.5,--,"1,972","1,960",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,5,0
Running,22/02/2020 8:15,FALSE,Geelong Running,3.05,222,0:17:47,161,182,3.1,163,195,5:50,4:59,124,114,1.05,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:16.8,4,0
Cycling,22/02/2020 7:01,FALSE,Geelong Cycling,23.98,424,0:54:32,124,158,2,--,--,26.4,34.7,480,484,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,20/02/2020 5:47,FALSE,Melbourne Running,10.03,661,0:55:38,154,176,4.1,160,177,5:33,4:15,308,311,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:01.0,13,0
Pool Swimming,19/02/2020 5:47,FALSE,Lap Swimming,"3,550",612,1:14:03,--,--,--,--,--,1:53,0:54,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1826,41,27,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,18/02/2020 19:43,FALSE,Zwift - Watopia,29.05,477,0:55:13,--,--,0,--,--,31.6,51.1,162,--,0,0,0,84,105,159,0,162,151,364,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,17/02/2020 18:18,FALSE,Lap Swimming,"3,300",594,1:12:39,--,--,--,--,--,1:52,1:32,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1905,85,31,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,16/02/2020 8:33,FALSE,Melbourne Running,15.03,894,1:21:00,148,161,3.5,170,179,5:23,4:38,425,458,1.09,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.5,16,0
Cycling,15/02/2020 6:22,FALSE,Melbourne Cycling,86.12,"1,264",2:55:47,132,165,2.7,--,--,29.4,40.5,"1,490","1,562",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,14/02/2020 6:42,FALSE,Melbourne Running,10.03,607,0:52:36,150,161,3.7,169,181,5:14,4:40,256,296,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.7,11,0
Cycling,13/02/2020 5:26,FALSE,Melbourne Cycling,48.81,856,1:32:33,140,172,3.4,--,--,31.6,50.6,864,912,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,12/02/2020 5:45,FALSE,Lap Swimming,"4,500",860,1:20:23,--,--,--,--,--,1:40,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2183,74,29,--,--,0:00,0,0:00,No,00:00.0,1,0
