Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Virtual Cycling,15/04/2020 7:40,FALSE,Zwift - FTP Test,40.77,598,1:13:08,141,183,0,--,--,33.4,52.4,98,--,0,0,0,--,--,74,90,169,--,0,211,142,291,0,0,--,--,--,0:00,0,0:00,No,00:12.0,16,0
Virtual Cycling,14/04/2020 6:58,FALSE,Zwift Academy 2019 Workout #2: Race Practice,33.34,487,1:00:15,137,163,0,--,--,33.2,51.4,84,--,0,0,0,--,--,74,103,160,--,0,159,141,376,0,0,--,--,--,0:00,0,0:00,No,00:10.0,28,0
Virtual Cycling,13/04/2020 8:30,FALSE,Zwift - Scott D'Aucourt's Meetup - Greatest London Flat,31.97,538,1:01:26,141,159,0,--,--,31.2,57.1,154,--,0,0,0,--,--,81,95,158,--,0,163,153,322,0,0,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,10/04/2020 6:36,FALSE,Zwift Academy 2019 Workout #1: Threshold Development,33.18,499,1:00:14,141,167,0,--,--,33.1,47.6,90,--,0,0,0,--,--,77,109,154,--,0,167,144,222,0,0,--,--,--,0:00,0,0:00,No,00:20.0,26,0
Virtual Cycling,9/04/2020 5:45,FALSE,Zwift Academy 2018 Workout #8: Lactate Shuttling,32.18,487,1:00:23,145,168,0,--,--,32,48.5,81,--,0,0,0,--,--,71,90,155,--,0,170,141,240,0,0,--,--,--,0:00,0,0:00,No,00:20.0,34,0
Virtual Cycling,7/04/2020 6:00,FALSE,Zwift - Samantha Woodland's Meetup - Hilly Route,31.87,534,1:00:44,146,179,0,--,--,31.5,62.2,392,--,0,0,0,--,--,71,91,168,--,0,171,153,376,0,0,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,5/04/2020 7:15,FALSE,Zwift - Men's Hellingen Royal Classic Workout,24.06,512,1:02:48,144,173,0,--,--,23,48.4,284,--,0,0,0,--,--,--,--,170,--,0,167,142,482,0,0,--,--,--,0:00,0,0:00,No,00:12.0,58,0
Virtual Cycling,3/04/2020 6:04,FALSE,Zwift - Zwift Academy 2016 Month 3 Session 21: Over Under Session,39.13,586,1:10:12,152,185,0,--,--,33.4,52.1,108,--,0,0,0,--,--,--,--,160,--,0,175,145,213,0,0,--,--,--,0:00,0,0:00,No,00:16.0,29,0
Virtual Cycling,2/04/2020 5:44,FALSE,Zwift Academy 2019 Workout #5: 1min Power Duration,31.86,425,1:00:10,134,184,0,--,--,31.8,48.5,75,--,0,0,0,--,--,--,--,147,--,0,133,123,394,0,0,--,--,--,0:00,0,0:00,No,00:12.1,31,0
Virtual Cycling,31/03/2020 6:04,FALSE,Zwift - NYC,26.05,478,1:02:16,147,165,0,--,--,25.1,83,467,--,0,0,0,--,--,--,--,139,--,0,147,133,272,0,0,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,30/03/2020 6:21,FALSE,Zwift Academy 2019 Workout #8: 4min Power Duration,31.49,414,0:56:36,130,178,0,--,--,33.4,48.1,82,--,0,0,0,--,--,--,--,148,--,0,137,127,323,0,0,--,--,--,0:00,0,0:00,No,00:15.0,21,0
Cycling,27/03/2020 6:00,FALSE,Melbourne Cycling,30.5,474,1:05:33,130,160,2.3,--,--,27.9,40.8,104,106,0,0,0,--,--,66,87,144,48% L / 52% R,26.4,139,121,327,0,0,4045,--,--,0:00,20,0:00,No,01:15.5,7,0
Virtual Cycling,25/03/2020 7:21,FALSE,Zwift Academy 2018 Workout #1: Over Ones,37.82,604,1:10:08,148,178,0,--,--,32.4,59.2,406,--,0,0,0,--,--,--,--,167,--,0,172,150,241,0,0,--,--,--,0:00,0,0:00,No,00:14.0,24,0
Cycling,21/03/2020 6:21,FALSE,Melbourne Cycling,93.05,"1,327",3:18:13,127,169,2.8,--,--,28.2,50.3,480,486,0,0,0,--,--,63,98,153,48% L / 52% R,91.6,171,112,429,0,0,11100,--,--,0:00,17,0:00,No,07:40.5,19,0
Pool Swimming,20/03/2020 5:48,FALSE,Pool Swimming,"3,300",620,1:00:53,--,--,--,--,--,1:51,0:41,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,0,0,1439,39,25,0:00,0,0:00,No,00:00.7,15,0
Cycling,19/03/2020 5:49,FALSE,Melbourne Cycling,43.23,627,1:25:32,132,179,3.5,--,--,30.3,50.5,167,161,0,0,0,--,--,64,95,169,48% L / 52% R,47.7,188,123,497,0,0,5035,--,--,0:00,22,0:00,No,07:18.6,9,0
Pool Swimming,18/03/2020 5:55,FALSE,Pool Swimming,"3,200",496,0:59:15,--,--,--,--,--,1:48,0:24,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,0,0,1335,78,27,0:00,0,0:00,No,00:01.7,51,0
