Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Road Cycling,27-07-19 7:42,FALSE,Melbourne Road Cycling,60.95,952,2:09:50,144,167,5,--,--,28.2,48.9,196,198,0,0,0,--,--,71,100,151,94.7,142,126,586,0,0,8076,--,--,33,0:00,8,0:00,No,01:35.7,61,0,22,41
Cycling,20-07-19 7:35,FALSE,Melbourne Cycling,60.94,"1,001",2:19:53,144,172,--,--,--,26.1,58.2,311,300,0,0,0,--,--,69,96,155,140.4,148,123,492,0,0,8240,--,--,--,0:00,6,0:00,No,01:27.4,61,0,--,--
Cycling,06-07-19 7:37,FALSE,Melbourne Cycling,48.27,"1,090",2:25:13,142,172,--,--,--,19.9,52.1,851,857,0,0,0,--,--,63,97,164,162,181,128,516,0,0,7194,--,--,--,0:00,7,0:00,No,00:55.3,49,0,--,--
Cycling,30-06-19 8:03,FALSE,Melbourne Cycling,29.35,504,1:07:17,124,148,--,--,--,26.2,44.5,150,170,0,0,0,--,--,72,94,150,62.6,137,128,390,0,0,4563,--,--,--,0:00,8,0:00,No,00:56.3,30,0,--,--
Walking,27-06-19 16:52,FALSE,Melbourne Walking,7.94,495,1:40:07,--,--,--,114,238,12:37,9:49,7,9,0.69,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,38:12.3,2,0,--,--
Cycling,23-06-19 7:05,FALSE,Melbourne Cycling,37.29,601,1:26:32,128,152,--,--,--,25.9,39.7,152,159,0,0,0,--,--,74,96,144,74.4,135,119,400,0,0,5898,--,--,--,0:00,4,0:00,No,00:54.4,38,0,--,--
Walking,16-06-19 7:43,FALSE,Melbourne Walking,5.29,325,1:01:14,--,--,--,118,127,11:34,8:56,1,3,0.73,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,14,0:00,No,03:28.6,2,0,--,--
Cycling,15-06-19 7:06,FALSE,Melbourne Cycling,40.35,669,1:30:45,125,147,--,--,--,26.7,37.9,163,169,0,0,0,--,--,73,101,154,88.9,151,126,543,0,0,6045,--,--,--,0:00,7,0:00,No,01:19.1,41,0,--,--
Multisport,09-06-19 8:03,FALSE,Cairns Multi-Sport,224.8,"4,554",14:52:18,--,155,--,--,--,15.1,--,"1,017","1,084",0,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,0,0:00,No,00:00.0,5,0,--,--
Open Water Swimming,08-06-19 11:27,FALSE,Cairns Open Water Swimming,619,131,0:14:19,115,122,1.5,--,--,2:19,0:24,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,393,51,27,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Cycling,08-06-19 9:11,FALSE,Cairns Cycling,27.61,336,1:00:39,113,133,--,--,--,27.3,38.8,61,52,0,0,0,--,--,74,95,115,33.4,113,96,534,0,0,3717,--,--,--,0:00,20,0:00,No,01:33.8,28,0,--,--
Running,07-06-19 10:22,FALSE,Cairns Running,5.02,330,0:33:04,127,151,2.3,159,211,6:35,5:14,2,2,0.91,9.4,8.5,290,49.7% L / 50.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:16.1,6,0,--,--
Cycling,07-06-19 7:07,FALSE,Cairns Cycling,26.02,310,1:07:58,108,130,--,--,--,23,37.8,20,31,0,0,0,--,--,66,92,100,28,97,79,536,0,0,3775,--,--,--,0:00,17,0:00,No,00:07.8,27,0,--,--
Treadmill Running,05-06-19 13:23,FALSE,Treadmill Running,5.05,363,0:35:47,124,145,2.1,154,165,7:05,6:02,--,--,0.93,11.1,10.4,306,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,00:22.0,6,0,--,--
Pool Swimming,03-06-19 6:04,FALSE,Lap Swimming,"4,000","1,000",1:15:39,--,--,--,--,--,1:54,1:33,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1806,32,24,--,0:00,0,0:00,No,18:10.1,4,0,--,--
Running,02-06-19 7:21,FALSE,Melbourne Running,20.18,"1,255",2:06:31,136,156,3,155,188,6:16,4:50,22,35,1,9.6,9.6,295,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,15,0:00,No,01:24.7,21,0,--,--
Indoor Cycling,01-06-19 7:06,FALSE,Indoor Cycling,0,"1,156",3:00:13,112,134,2.1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,00:00.0,1,0,--,--
Pool Swimming,31-05-19 6:04,FALSE,Lap Swimming,"3,200",800,0:59:27,--,--,--,--,--,1:51,1:35,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1520,32,26,--,0:00,0,0:00,No,04:19.2,5,0,--,--
Treadmill Running,30-05-19 11:52,FALSE,Treadmill Running,5.05,363,0:35:46,123,145,2.1,153,164,7:05,5:46,1,--,0.93,11.1,10.4,308,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,00:21.6,6,0,--,--
Treadmill Running,29-05-19 12:05,FALSE,Treadmill Running,5.05,370,0:34:12,127,150,2.3,154,163,6:46,5:30,3,6,0.96,10.5,10.3,307,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:19.5,6,0,--,--
